,Station information:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
45,Waipara West Ews,20230102,1300,21.2,15.7,53,11.3,
46,Waipara West Ews,20230102,1400,21.2,15.8,54,11.5,
47,Waipara West Ews,20230102,1500,21.1,16,56,12,
48,Waipara West Ews,20230102,1600,20.6,15.9,59,12.3,
49,Waipara West Ews,20230102,1700,19.7,15,58,11.2,
50,Waipara West Ews,20230102,1800,18.8,14.7,62,11.4,
51,Waipara West Ews,20230102,1900,17.7,14.3,67,11.5,
52,Waipara West Ews,20230102,2000,15.4,12.9,74,10.8,
53,Waipara West Ews,20230102,2100,14.1,12.4,81,10.9,
54,Waipara West Ews,20230102,2200,11.9,11,89,10.2,
55,Waipara West Ews,20230102,2300,12,11.2,90,10.4,
56,Waipara West Ews,20230103,0,11.1,10.6,94,10.2,
57,Waipara West Ews,20230103,100,10.7,10.4,96,10.1,
58,Waipara West Ews,20230103,200,12,11.5,94,11.1,
59,Waipara West Ews,20230103,300,12.6,11.9,92,11.3,
60,Waipara West Ews,20230103,400,12.8,12.2,93,11.7,
61,Waipara West Ews,20230103,500,13,12.5,94,12.1,
62,Waipara West Ews,20230103,600,14.1,12.9,86,11.8,
63,Waipara West Ews,20230103,700,15,13.4,83,12.2,
64,Waipara West Ews,20230103,800,16,14,79,12.4,
65,Waipara West Ews,20230103,900,19,15.6,68,13,
66,Waipara West Ews,20230103,1000,20.5,16.9,68,14.4,
67,Waipara West Ews,20230103,1100,22.4,18.1,64,15.3,
68,Waipara West Ews,20230103,1200,22.5,18.3,65,15.6,
69,Waipara West Ews,20230103,1300,23.2,18.4,61,15.3,
70,Waipara West Ews,20230103,1400,24.7,19.3,58,15.9,
71,Waipara West Ews,20230103,1500,25.6,18.6,48,13.8,
72,Waipara West Ews,20230103,1600,25,18.1,48,13.2,
73,Waipara West Ews,20230103,1700,24.5,17.4,46,12.1,
74,Waipara West Ews,20230103,1800,23.3,17.7,55,13.8,
75,Waipara West Ews,20230103,1900,21.6,16.5,57,12.7,
76,Waipara West Ews,20230103,2000,19.5,15.6,64,12.5,
77,Waipara West Ews,20230103,2100,16.3,14,76,12.1,
78,Waipara West Ews,20230103,2200,14.3,13.1,86,12,
79,Waipara West Ews,20230103,2300,14,13.1,90,12.4,
80,Waipara West Ews,20230104,0,13.6,12.7,90,12,
81,Waipara West Ews,20230104,100,12.5,11.9,93,11.4,
82,Waipara West Ews,20230104,200,12.1,11.8,96,11.5,
83,Waipara West Ews,20230104,300,11.7,11.4,96,11.1,
84,Waipara West Ews,20230104,400,10.9,10.7,97,10.5,
85,Waipara West Ews,20230104,500,11.8,11.6,97,11.3,
86,Waipara West Ews,20230104,600,13.7,12.8,90,12.1,
87,Waipara West Ews,20230104,700,15.5,14.1,85,13,
88,Waipara West Ews,20230104,800,19.4,15.9,68,13.4,
89,Waipara West Ews,20230104,900,21.8,17.8,66,15.2,
90,Waipara West Ews,20230104,1000,21.6,17.7,66,15,
91,Waipara West Ews,20230104,1100,23.1,18.7,64,15.9,
92,Waipara West Ews,20230104,1200,27,19.5,47,14.7,
93,Waipara West Ews,20230104,1300,25.9,18.5,46,13.4,
94,Waipara West Ews,20230104,1400,27,17.9,37,11.1,
95,Waipara West Ews,20230104,1500,25.8,18.3,45,13,
96,Waipara West Ews,20230104,1600,24.5,17.4,46,12.1,
97,Waipara West Ews,20230104,1700,22.6,17,54,12.8,
98,Waipara West Ews,20230104,1800,21.7,16.9,59,13.3,
99,Waipara West Ews,20230104,1900,19.9,16.8,72,14.7,
100,Waipara West Ews,20230104,2000,19.4,16.6,74,14.7,
101,Waipara West Ews,20230104,2100,18.1,16.1,80,14.6,
102,Waipara West Ews,20230104,2200,17.2,15.4,82,14.1,
103,Waipara West Ews,20230104,2300,16.3,15.2,88,14.3,
104,Waipara West Ews,20230105,0,16.2,15.2,89,14.4,
105,Waipara West Ews,20230105,100,15.7,14.9,91,14.3,
106,Waipara West Ews,20230105,200,16.3,15.6,92,15,
107,Waipara West Ews,20230105,300,16.3,15.5,91,14.8,
108,Waipara West Ews,20230105,400,16.4,15.6,92,15.1,
109,Waipara West Ews,20230105,500,16.4,15.7,93,15.3,
110,Waipara West Ews,20230105,600,16.6,16.1,95,15.8,
111,Waipara West Ews,20230105,700,18,17,90,16.3,
112,Waipara West Ews,20230105,800,19.8,17.4,78,15.9,
113,Waipara West Ews,20230105,900,23.1,18.2,60,14.9,
114,Waipara West Ews,20230105,1000,23.1,17.8,57,14.1,
115,Waipara West Ews,20230105,1100,26.2,19.4,50,15,
116,Waipara West Ews,20230105,1200,28.3,20.4,46,15.6,
117,Waipara West Ews,20230105,1300,27,19.2,45,14.1,
118,Waipara West Ews,20230105,1400,27.5,19.6,45,14.5,
119,Waipara West Ews,20230105,1500,26.6,19.5,49,15,
120,Waipara West Ews,20230105,1600,27.4,20.5,51,16.4,
121,Waipara West Ews,20230105,1700,27.2,19.5,46,14.6,
122,Waipara West Ews,20230105,1800,28.7,19.9,41,14.2,
123,Waipara West Ews,20230105,1900,27.6,19.2,42,13.5,
124,Waipara West Ews,20230105,2000,25.9,18,43,12.4,
125,Waipara West Ews,20230105,2100,23.9,17.6,51,13.2,
126,Waipara West Ews,20230105,2200,16.6,15.3,86,14.3,
127,Waipara West Ews,20230105,2300,16.9,15.3,84,14.2,
128,Waipara West Ews,20230106,0,21.5,16.9,61,13.7,
129,Waipara West Ews,20230106,100,16.8,15,82,13.7,
130,Waipara West Ews,20230106,200,16.2,14.8,85,13.7,
131,Waipara West Ews,20230106,300,18.5,16,76,14.2,
132,Waipara West Ews,20230106,400,18.8,16.1,74,14.1,
133,Waipara West Ews,20230106,500,17.9,15.8,79,14.2,
134,Waipara West Ews,20230106,600,17.2,15.5,83,14.3,
135,Waipara West Ews,20230106,700,19.6,17,76,15.3,
136,Waipara West Ews,20230106,800,24.7,19,56,15.3,
137,Waipara West Ews,20230106,900,27.4,20.4,50,16.1,
138,Waipara West Ews,20230106,1000,25.6,19,51,14.7,
139,Waipara West Ews,20230106,1100,25.4,18.9,51,14.5,
140,Waipara West Ews,20230106,1200,28.3,20.1,44,14.9,
141,Waipara West Ews,20230106,1300,27.3,19.6,46,14.7,
142,Waipara West Ews,20230106,1400,29.2,20.4,42,15,
143,Waipara West Ews,20230106,1500,29.8,20.2,38,14,
144,Waipara West Ews,20230106,1600,27.8,19.7,44,14.4,
145,Waipara West Ews,20230106,1700,26.7,18.7,43,13.1,
146,Waipara West Ews,20230106,1800,25.6,18.3,46,13.1,
147,Waipara West Ews,20230106,1900,25.1,18.2,48,13.3,
148,Waipara West Ews,20230106,2000,23.3,17.8,56,14,
149,Waipara West Ews,20230106,2100,20.4,18.5,82,17.2,
150,Waipara West Ews,20230106,2200,20.1,18.1,81,16.7,
151,Waipara West Ews,20230106,2300,18,16.8,88,16,
152,Waipara West Ews,20230107,0,17.7,16.2,85,15.1,
153,Waipara West Ews,20230107,100,17.4,15.6,82,14.3,
154,Waipara West Ews,20230107,200,17.4,15.5,81,14.1,
155,Waipara West Ews,20230107,300,16.5,15.5,89,14.7,
156,Waipara West Ews,20230107,400,16.1,15.3,91,14.6,
157,Waipara West Ews,20230107,500,15.8,15.3,94,14.9,
158,Waipara West Ews,20230107,600,15.3,14.7,93,14.2,
159,Waipara West Ews,20230107,700,15.1,14.4,92,13.8,
160,Waipara West Ews,20230107,800,15,14.4,93,13.9,
161,Waipara West Ews,20230107,900,14.2,13.4,91,12.8,
162,Waipara West Ews,20230107,1000,14.4,13.3,88,12.5,
163,Waipara West Ews,20230107,1100,13.4,12.7,92,12.1,
164,Waipara West Ews,20230107,1200,13.3,12.8,94,12.4,
165,Waipara West Ews,20230107,1300,14.5,13.2,86,12.2,
166,Waipara West Ews,20230107,1400,13.7,13.1,93,12.6,
167,Waipara West Ews,20230107,1500,13.4,12.8,93,12.3,
168,Waipara West Ews,20230107,1600,13.9,12.9,89,12.1,
169,Waipara West Ews,20230107,1700,14.4,13.2,86,12.1,
170,Waipara West Ews,20230107,1800,14.3,12.7,82,11.3,
171,Waipara West Ews,20230107,1900,13,12.2,91,11.6,
172,Waipara West Ews,20230107,2000,13.1,12.4,92,11.8,
173,Waipara West Ews,20230107,2100,12.9,11.5,84,10.3,
174,Waipara West Ews,20230107,2200,12.6,11.3,84,10,
175,Waipara West Ews,20230107,2300,12.4,10.9,82,9.4,
176,Waipara West Ews,20230108,0,12.2,10.4,78,8.5,
177,Waipara West Ews,20230108,100,12.1,10.1,76,8,
178,Waipara West Ews,20230108,200,12,9.8,74,7.5,
179,Waipara West Ews,20230108,300,11.9,10.2,80,8.6,
180,Waipara West Ews,20230108,400,11.6,10.4,85,9.2,
181,Waipara West Ews,20230108,500,11.4,10.4,88,9.5,
182,Waipara West Ews,20230108,600,12.2,10.2,76,8.1,
183,Waipara West Ews,20230108,700,13.3,10.7,71,8.2,
184,Waipara West Ews,20230108,800,14,10.8,65,7.5,
185,Waipara West Ews,20230108,900,15.3,11.4,60,7.6,
186,Waipara West Ews,20230108,1000,14.7,11.7,68,8.9,
187,Waipara West Ews,20230108,1100,15.2,11.7,63,8.2,
188,Waipara West Ews,20230108,1200,17.3,12.8,57,8.7,
189,Waipara West Ews,20230108,1300,17.9,12.9,53,8.2,
190,Waipara West Ews,20230108,1400,16.6,12.4,58,8.3,
191,Waipara West Ews,20230108,1500,17.7,12.8,54,8.3,
192,Waipara West Ews,20230108,1600,17.5,12.8,55,8.4,
193,Waipara West Ews,20230108,1700,17.1,12.7,57,8.5,
194,Waipara West Ews,20230108,1800,15.8,12.1,62,8.6,
195,Waipara West Ews,20230108,1900,15.2,11.8,64,8.4,
196,Waipara West Ews,20230108,2000,12.9,10.6,73,8.2,
197,Waipara West Ews,20230108,2100,10.5,9.3,85,8.1,
198,Waipara West Ews,20230108,2200,8.4,7.7,90,6.9,
199,Waipara West Ews,20230108,2300,8.8,8.3,93,7.7,
200,Waipara West Ews,20230109,0,9.4,8.7,91,8,
201,Waipara West Ews,20230109,100,8.7,8.1,92,7.5,
202,Waipara West Ews,20230109,200,6.7,6.4,96,6.1,
203,Waipara West Ews,20230109,300,7,6.7,95,6.3,
204,Waipara West Ews,20230109,400,7,6.7,95,6.3,
205,Waipara West Ews,20230109,500,7.4,6.9,93,6.4,
206,Waipara West Ews,20230109,600,8.5,7.9,92,7.3,
207,Waipara West Ews,20230109,700,11.4,10.2,85,9,
208,Waipara West Ews,20230109,800,14.2,11.3,68,8.4,
209,Waipara West Ews,20230109,900,16.2,12.4,62,8.9,
210,Waipara West Ews,20230109,1000,18.4,14.1,60,10.5,
211,Waipara West Ews,20230109,1100,19.8,14.6,54,10.2,
212,Waipara West Ews,20230109,1200,20.8,15.5,54,11.2,
213,Waipara West Ews,20230109,1300,21.5,15.6,51,11,
214,Waipara West Ews,20230109,1400,22.7,17,54,12.9,
215,Waipara West Ews,20230109,1500,22.4,16.9,55,12.9,
216,Waipara West Ews,20230109,1600,21.3,16.4,58,12.7,
217,Waipara West Ews,20230109,1700,20,15.8,62,12.5,
218,Waipara West Ews,20230109,1800,19.1,15,62,11.7,
219,Waipara West Ews,20230109,1900,16.9,13.9,70,11.4,
220,Waipara West Ews,20230109,2000,14.9,13.1,80,11.5,
221,Waipara West Ews,20230109,2100,13.8,12.5,85,11.3,
222,Waipara West Ews,20230109,2200,14.2,12.5,81,11,
223,Waipara West Ews,20230109,2300,14.5,12.4,77,10.5,
224,Waipara West Ews,20230110,0,14.5,12.4,77,10.5,
225,Waipara West Ews,20230110,100,12.6,10.9,80,9.3,
226,Waipara West Ews,20230110,200,9.8,9.2,92,8.6,
227,Waipara West Ews,20230110,300,8.8,8.4,95,8.1,
228,Waipara West Ews,20230110,400,8.6,8.3,96,8,
229,Waipara West Ews,20230110,500,8.2,8.1,98,7.9,
230,Waipara West Ews,20230110,600,9.4,9.3,98,9.1,
231,Waipara West Ews,20230110,700,12,11.5,94,11.1,
232,Waipara West Ews,20230110,800,15.2,13,76,11,
233,Waipara West Ews,20230110,900,18,14.3,65,11.3,
234,Waipara West Ews,20230110,1000,19.4,14.9,59,11.2,
235,Waipara West Ews,20230110,1100,20.6,15.4,55,11.3,
236,Waipara West Ews,20230110,1200,22.2,16.6,54,12.5,
237,Waipara West Ews,20230110,1300,21.4,16.2,56,12.3,
238,Waipara West Ews,20230110,1400,21.9,16.8,57,13,
239,Waipara West Ews,20230110,1500,22.1,17.1,58,13.5,
240,Waipara West Ews,20230110,1600,21,16.4,60,13,
241,Waipara West Ews,20230110,1700,20,16,64,13,
242,Waipara West Ews,20230110,1800,18.7,15,65,12,
243,Waipara West Ews,20230110,1900,17.8,14.8,71,12.5,
244,Waipara West Ews,20230110,2000,16.4,14.4,79,12.8,
245,Waipara West Ews,20230110,2100,15.8,14.2,83,12.9,
246,Waipara West Ews,20230110,2200,14.4,13.4,89,12.6,
247,Waipara West Ews,20230110,2300,14.2,13.3,90,12.6,
248,Waipara West Ews,20230111,0,14.2,13.6,93,13.1,
249,Waipara West Ews,20230111,100,15,13.8,87,12.9,
250,Waipara West Ews,20230111,200,14.3,13.5,91,12.9,
251,Waipara West Ews,20230111,300,14.1,13.5,93,13,
252,Waipara West Ews,20230111,400,15.2,14,87,13.1,
253,Waipara West Ews,20230111,500,14,13.4,93,12.9,
254,Waipara West Ews,20230111,600,14.2,13.7,94,13.2,
255,Waipara West Ews,20230111,700,16.7,13.6,69,11,
256,Waipara West Ews,20230111,800,17.1,14,69,11.4,
257,Waipara West Ews,20230111,900,17,13,61,9.5,
258,Waipara West Ews,20230111,1000,17.6,14.1,66,11.2,
259,Waipara West Ews,20230111,1100,18.5,14.3,61,10.9,
260,Waipara West Ews,20230111,1200,18.5,14.6,63,11.3,
261,Waipara West Ews,20230111,1300,18.4,15.2,69,12.6,
262,Waipara West Ews,20230111,1400,19.2,14.8,60,11.3,
263,Waipara West Ews,20230111,1500,18.9,15,64,12,
264,Waipara West Ews,20230111,1600,19.1,15,62,11.7,
265,Waipara West Ews,20230111,1700,19.2,14.2,55,10,
266,Waipara West Ews,20230111,1800,19.3,14.4,56,10.3,
267,Waipara West Ews,20230111,1900,18.2,13.7,58,9.8,
268,Waipara West Ews,20230111,2000,16.8,13.7,69,11.1,
269,Waipara West Ews,20230111,2100,15.6,13.8,81,12.4,
270,Waipara West Ews,20230111,2200,14.3,13.3,89,12.5,
271,Waipara West Ews,20230111,2300,13.3,12.6,92,12,
272,Waipara West Ews,20230112,0,12.9,11.6,85,10.5,
273,Waipara West Ews,20230112,100,12.8,10.9,78,9.1,
274,Waipara West Ews,20230112,200,12.7,9.9,68,7,
275,Waipara West Ews,20230112,300,12.8,10.7,76,8.7,
276,Waipara West Ews,20230112,400,12.1,10.8,84,9.5,
277,Waipara West Ews,20230112,500,12.2,10.4,79,8.7,
278,Waipara West Ews,20230112,600,12.8,10.7,76,8.7,
279,Waipara West Ews,20230112,700,13.3,11.2,76,9.2,
280,Waipara West Ews,20230112,800,12.9,11.5,84,10.3,
281,Waipara West Ews,20230112,900,14.3,11.9,74,9.7,
282,Waipara West Ews,20230112,1000,15.3,12.7,72,10.3,
283,Waipara West Ews,20230112,1100,15.5,12.8,72,10.5,
284,Waipara West Ews,20230112,1200,16.3,13.1,67,10.2,
285,Waipara West Ews,20230112,1300,15.4,12.9,74,10.8,
286,Waipara West Ews,20230112,1400,13.8,12.5,85,11.3,
287,Waipara West Ews,20230112,1500,15.6,13.3,76,11.4,
288,Waipara West Ews,20230112,1600,16.9,13.4,65,10.3,
289,Waipara West Ews,20230112,1700,16.5,13.1,66,10.1,
290,Waipara West Ews,20230112,1800,15.7,12.4,66,9.4,
291,Waipara West Ews,20230112,1900,15.2,12.4,70,9.8,
292,Waipara West Ews,20230112,2000,14.5,11.9,72,9.5,
293,Waipara West Ews,20230112,2100,14,11.8,75,9.7,
294,Waipara West Ews,20230112,2200,13.8,11.7,76,9.7,
295,Waipara West Ews,20230112,2300,13.6,11.3,74,9.1,
296,Waipara West Ews,20230113,0,13.4,11.2,75,9.1,
297,Waipara West Ews,20230113,100,12.8,11.3,82,9.8,
298,Waipara West Ews,20230113,200,12.4,11.2,86,10.1,
299,Waipara West Ews,20230113,300,12.2,11.3,89,10.5,
300,Waipara West Ews,20230113,400,11.8,11.1,91,10.4,
301,Waipara West Ews,20230113,500,11,10.5,93,9.9,
302,Waipara West Ews,20230113,600,12.1,11.3,90,10.5,
303,Waipara West Ews,20230113,700,13.4,11.7,80,10,
304,Waipara West Ews,20230113,800,14.6,12.1,73,9.8,
305,Waipara West Ews,20230113,900,15.4,12.7,72,10.4,
306,Waipara West Ews,20230113,1000,15.8,12.9,70,10.4,
307,Waipara West Ews,20230113,1100,16.8,13.3,65,10.2,
308,Waipara West Ews,20230113,1200,18.2,13.7,58,9.8,
309,Waipara West Ews,20230113,1300,18.8,14.1,57,10.1,
310,Waipara West Ews,20230113,1400,19,14.3,57,10.3,
311,Waipara West Ews,20230113,1500,18.6,14.1,58,10.2,
312,Waipara West Ews,20230113,1600,19.5,14.5,55,10.2,
313,Waipara West Ews,20230113,1700,19.2,14,53,9.4,
314,Waipara West Ews,20230113,1800,18,13.4,57,9.4,
315,Waipara West Ews,20230113,1900,17.2,13.1,60,9.4,
316,Waipara West Ews,20230113,2000,14.4,11.8,72,9.4,
317,Waipara West Ews,20230113,2100,13.9,11.7,75,9.6,
318,Waipara West Ews,20230113,2200,14.1,12.2,79,10.5,
319,Waipara West Ews,20230113,2300,14.2,12.5,81,11,
320,Waipara West Ews,20230114,0,12.2,11,85,9.8,
321,Waipara West Ews,20230114,100,10.8,10.1,91,9.4,
322,Waipara West Ews,20230114,200,11.8,10.9,89,10.1,
323,Waipara West Ews,20230114,300,12.2,11,86,9.9,
324,Waipara West Ews,20230114,400,11.6,10.6,88,9.7,
325,Waipara West Ews,20230114,500,10.7,9.9,90,9.1,
326,Waipara West Ews,20230114,600,10.3,9.8,94,9.4,
327,Waipara West Ews,20230114,700,13.6,11.9,81,10.4,
328,Waipara West Ews,20230114,800,16,13.2,71,10.8,
329,Waipara West Ews,20230114,900,17,13.6,66,10.6,
330,Waipara West Ews,20230114,1000,18.8,14.5,60,10.9,
331,Waipara West Ews,20230114,1100,20.2,15.4,58,11.7,
332,Waipara West Ews,20230114,1200,21.1,15.8,55,11.7,
333,Waipara West Ews,20230114,1300,21.3,16,55,11.9,
334,Waipara West Ews,20230114,1400,21.2,15.5,52,11,
335,Waipara West Ews,20230114,1500,20.9,15.5,54,11.3,
336,Waipara West Ews,20230114,1600,20,15,56,11,
337,Waipara West Ews,20230114,1700,19.2,14.5,57,10.5,
338,Waipara West Ews,20230114,1800,17.8,14.1,64,10.9,
339,Waipara West Ews,20230114,1900,16.6,13.6,70,11.1,
340,Waipara West Ews,20230114,2000,15.8,13.4,75,11.4,
341,Waipara West Ews,20230114,2100,15.5,13.2,76,11.3,
342,Waipara West Ews,20230114,2200,15.3,13.2,78,11.5,
343,Waipara West Ews,20230114,2300,15.1,13.2,79,11.5,
344,Waipara West Ews,20230115,0,14.9,13.5,85,12.4,
345,Waipara West Ews,20230115,100,14.7,13.2,83,11.8,
346,Waipara West Ews,20230115,200,14.4,13.2,87,12.3,
347,Waipara West Ews,20230115,300,14.3,13.3,89,12.5,
348,Waipara West Ews,20230115,400,14.3,13.2,88,12.3,
349,Waipara West Ews,20230115,500,13.6,12.8,91,12.2,
350,Waipara West Ews,20230115,600,13.8,13.2,93,12.7,
351,Waipara West Ews,20230115,700,16,14.2,81,12.8,
352,Waipara West Ews,20230115,800,19.1,15.2,64,12.1,
353,Waipara West Ews,20230115,900,20.5,14.9,52,10.3,
354,Waipara West Ews,20230115,1000,21.5,15.8,52,11.2,
355,Waipara West Ews,20230115,1100,22.5,16.1,48,11,
356,Waipara West Ews,20230115,1200,23.3,17,50,12.3,
357,Waipara West Ews,20230115,1300,23.3,16.7,48,11.7,
358,Waipara West Ews,20230115,1400,23.1,16.8,50,12.1,
359,Waipara West Ews,20230115,1500,23.6,17.2,50,12.6,
360,Waipara West Ews,20230115,1600,24,17.3,48,12.3,
361,Waipara West Ews,20230115,1700,23.4,16.9,49,12.1,
362,Waipara West Ews,20230115,1800,22,16.3,53,12,
363,Waipara West Ews,20230115,1900,20.4,15.5,57,11.6,
364,Waipara West Ews,20230115,2000,17.9,14.4,66,11.5,
365,Waipara West Ews,20230115,2100,15.7,13.2,74,11.1,
366,Waipara West Ews,20230115,2200,13.1,11.7,84,10.5,
367,Waipara West Ews,20230115,2300,11.7,11.1,92,10.4,
368,Waipara West Ews,20230116,0,10.6,10.2,95,9.9,
369,Waipara West Ews,20230116,100,10.1,9.8,96,9.5,
370,Waipara West Ews,20230116,200,9.5,9.3,97,9.1,
371,Waipara West Ews,20230116,300,9.5,9.4,98,9.2,
372,Waipara West Ews,20230116,400,8.8,8.7,98,8.5,
373,Waipara West Ews,20230116,500,10.4,10.3,99,10.3,
374,Waipara West Ews,20230116,600,12,11.4,93,10.9,
375,Waipara West Ews,20230116,700,14.6,13.3,86,12.3,
376,Waipara West Ews,20230116,800,17.9,14.9,71,12.6,
377,Waipara West Ews,20230116,900,20.3,16.4,65,13.5,
378,Waipara West Ews,20230116,1000,22.6,17.4,57,13.7,
379,Waipara West Ews,20230116,1100,23.2,18.2,59,14.8,
380,Waipara West Ews,20230116,1200,22.7,17.6,58,14,
381,Waipara West Ews,20230116,1300,22.2,17.3,59,13.8,
382,Waipara West Ews,20230116,1400,21.6,17.3,63,14.3,
383,Waipara West Ews,20230116,1500,22.4,17.5,59,14,
384,Waipara West Ews,20230116,1600,23.2,17.3,53,13.1,
385,Waipara West Ews,20230116,1700,23,17.3,54,13.2,
386,Waipara West Ews,20230116,1800,21.7,17.2,62,14.1,
387,Waipara West Ews,20230116,1900,19,16.6,77,14.9,
388,Waipara West Ews,20230116,2000,16.5,15.4,88,14.5,
389,Waipara West Ews,20230116,2100,15,14.3,92,13.7,
390,Waipara West Ews,20230116,2200,13.2,13,97,12.7,
391,Waipara West Ews,20230116,2300,13.6,13.4,98,13.3,
392,Waipara West Ews,20230117,0,13.8,13.5,97,13.3,
393,Waipara West Ews,20230117,100,13.4,13.3,99,13.3,
394,Waipara West Ews,20230117,200,12.8,12.8,100,12.8,
395,Waipara West Ews,20230117,300,12.4,12.4,100,12.4,
396,Waipara West Ews,20230117,400,11.9,11.9,100,11.9,
397,Waipara West Ews,20230117,500,10.4,10.4,100,10.4,
398,Waipara West Ews,20230117,600,10.7,10.7,100,10.7,
399,Waipara West Ews,20230117,700,14,12.9,87,11.9,
400,Waipara West Ews,20230117,800,19.2,14.7,59,11,
401,Waipara West Ews,20230117,900,21.1,17.1,65,14.3,
402,Waipara West Ews,20230117,1000,20.4,17.2,71,15,
403,Waipara West Ews,20230117,1100,20.6,17.4,71,15.2,
404,Waipara West Ews,20230117,1200,20.9,17.3,68,14.8,
405,Waipara West Ews,20230117,1300,21.5,17.3,64,14.4,
406,Waipara West Ews,20230117,1400,20.6,16.4,63,13.3,
407,Waipara West Ews,20230117,1500,21.2,16.6,60,13.1,
408,Waipara West Ews,20230117,1600,20.8,16.1,59,12.5,
409,Waipara West Ews,20230117,1700,19.6,15.3,61,11.9,
410,Waipara West Ews,20230117,1800,18.4,15,68,12.4,
411,Waipara West Ews,20230117,1900,17.8,14.9,72,12.7,
412,Waipara West Ews,20230117,2000,17.3,14.7,74,12.6,
413,Waipara West Ews,20230117,2100,16.6,15,83,13.7,
414,Waipara West Ews,20230117,2200,16.3,14,76,12.1,
415,Waipara West Ews,20230117,2300,16.3,13.7,73,11.5,
416,Waipara West Ews,20230118,0,15.9,13.6,76,11.7,
417,Waipara West Ews,20230118,100,16.1,13.8,76,11.9,
418,Waipara West Ews,20230118,200,16,13.7,76,11.8,
419,Waipara West Ews,20230118,300,15.7,14,82,12.6,
420,Waipara West Ews,20230118,400,15.2,13.8,85,12.7,
421,Waipara West Ews,20230118,500,15,13.7,86,12.7,
422,Waipara West Ews,20230118,600,15.4,13.8,83,12.5,
423,Waipara West Ews,20230118,700,15.9,14.2,82,12.8,
424,Waipara West Ews,20230118,800,17.3,14.6,73,12.4,
425,Waipara West Ews,20230118,900,17.9,14.9,71,12.6,
426,Waipara West Ews,20230118,1000,20.2,16.1,63,12.9,
427,Waipara West Ews,20230118,1100,20.3,16.3,64,13.3,
428,Waipara West Ews,20230118,1200,21.5,16.4,57,12.6,
429,Waipara West Ews,20230118,1300,22.9,17.4,55,13.4,
430,Waipara West Ews,20230118,1400,22.4,17.7,61,14.5,
431,Waipara West Ews,20230118,1500,24.8,18.8,54,14.9,
